"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Haaltert";1,8;1,5;2,6;1,9;3,5;1,7;2,1;1,9;3,2;3,2;3,3
"Halen";4,0;4,9;4,0;1,9;2,1;2,6;2,6;2,1;4,4;4,3;3,7
"Halle";4,7;5,5;7,6;7,1;8,5;8,3;8,9;7,9;9,5;10,8;7,6
"Hamme";4,3;3,1;3,6;4,5;5,5;5,6;6,2;5,2;6,2;5,8;6,4
"Hamont-Achel";11,1;10,7;13,3;13,2;13,7;14,3;13,8;13,4;16,1;18,7;21,0
"Harelbeke";3,2;4,3;7,0;6,6;7,6;8,3;6,8;4,4;7,6;9,3;8,4
"Hasselt";5,3;5,5;7,8;6,5;7,1;7,8;6,7;6,9;7,8;9,5;9,7
"Hechtel-Eksel";6,5;6,6;28,0;6,4;7,0;7,9;5,0;5,9;6,3;9,2;7,9
"Heers";4,6;4,6;4,6;4,0;4,5;5,0;4,2;4,3;4,1;6,5;3,0
"Heist-op-den-Berg";2,8;2,8;3,7;2,9;3,2;3,4;2,5;2,3;2,4;3,8;3,4
"Hemiksem";3,5;5,4;3,9;4,7;6,6;5,1;4,5;3,7;5,1;5,9;6,2
"Herent";2,7;4,7;5,5;4,2;3,8;5,7;3,6;4,1;5,9;7,6;4,9
"Herentals";4,4;4,4;5,8;6,0;7,0;7,1;5,9;4,8;7,0;8,0;7,3
"Herenthout";2,3;4,3;6,7;6,1;6,5;6,1;6,9;4,7;12,2;8,6;7,0
"Herk-de-Stad";2,5;3,6;3,2;2,7;3,3;3,0;3,0;2,3;4,1;3,2;4,3
"Herselt";2,4;1,9;1,3;2,1;2,1;2,8;2,0;2,7;3,6;3,5;3,0
"Herstappe";0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
"Herzele";0,6;1,6;3,8;2,9;3,4;2,7;2,8;3,1;3,2;3,1;3,5
"Heusden-Zolder";7,3;5,8;5,6;5,8;7,3;6,9;7,9;5,9;6,4;7,4;6,2
"Heuvelland";4,2;3,5;4,6;4,6;5,1;6,3;3,9;3,6;7,2;7,6;5,6
"Hoegaarden";3,2;3,7;3,5;3,3;3,5;2,0;2,2;2,9;4,7;6,2;4,7
"Hoeilaart";1,3;1,0;14,2;9,7;12,3;10,2;8,5;5,9;8,8;9,0;5,7
"Holsbeek";2,1;1,7;4,2;3,7;2,7;2,5;2,6;3,1;2,3;4,2;2,4
"Hooglede";2,7;3,7;5,4;5,4;7,5;7,9;5,7;4,7;7,7;8,5;9,2
"Hoogstraten";21,7;19,4;20,6;19,4;19,0;21,3;18,7;15,0;22,4;21,2;23,2
"Horebeke";2,4;1,2;4,3;7,2;1,8;2,4;1,8;0,6;0,6;3,6;0,0
"Houthalen-Helchteren";0,3;3,7;31,2;10,9;13,7;22,1;12,7;15,0;8,9;8,9;6,3
"Houthulst";3,3;5,4;5,9;3,5;5,7;8,0;5,1;2,3;5,4;7,9;8,1
"Hove";2,6;1,5;3,5;2,6;3,8;3,5;3,7;3,2;3,3;4,0;1,8
"Huldenberg";3,5;3,5;4,8;4,5;4,9;8,3;4,1;5,1;4,4;4,6;3,5
"Hulshout";1,8;1,8;2,5;2,1;2,7;2,0;1,2;2,1;2,8;2,4;2,7
"Ichtegem";5,0;2,8;3,0;3,2;3,3;3,6;3,1;2,9;3,6;3,0;3,4
"Ieper";4,6;5,1;5,9;4,8;5,0;4,7;4,6;3,7;5,5;6,6;5,8
"Ingelmunster";4,3;6,3;6,7;3,7;5,5;4,6;6,3;5,1;6,3;5,7;4,6
"Izegem";2,9;4,3;4,8;5,3;4,3;5,7;5,2;4,0;5,2;7,2;6,3
"Jabbeke";2,1;1,6;3,9;3,1;2,9;1,6;2,9;3,0;1,7;3,9;2,9
"Jette";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Kalmthout";4,8;5,2;5,5;4,8;5,5;5,8;4,4;5,1;5,4;6,7;6,1
"Kampenhout";1,5;2,1;3,1;2,4;4,4;3,1;1,8;3,2;2,4;6,1;3,8
"Kapelle-op-den-Bos";1,5;3,2;4,0;5,1;2,6;3,8;4,6;3,1;4,1;5,3;6,3
"Kapellen";12,1;16,2;18,4;16,3;13,7;14,3;9,5;10,5;5,3;5,2;5,5
"Kaprijke";2,3;1,6;3,7;2,9;2,3;3,6;2,9;0,4;2,8;5,9;2,4
"Kasterlee";3,3;3,4;4,6;4,1;5,2;5,1;4,4;2,2;3,6;4,6;3,6
"Keerbergen";2,0;2,1;2,8;2,2;2,1;2,6;2,6;2,1;1,9;3,6;2,3
"Kinrooi";7,8;8,1;7,0;12,9;8,6;8,1;9,6;8,7;11,2;14,9;16,7
"Kluisbergen";1,4;2,7;2,5;2,9;2,3;4,6;3,0;2,0;3,3;5,6;3,6
"Knokke-Heist";6,5;6,2;8,4;7,9;8,2;9,2;7,1;6,1;9,6;9,2;9,2
"Koekelare";1,7;2,0;1,4;2,3;3,4;3,1;0,6;1,1;1,3;2,1;1,5
"Koekelberg";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Koksijde";2,3;4,3;14,7;2,9;3,2;2,1;6,6;2,7;6,5;3,5;3,7
"Kontich";3,6;5,0;5,2;4,2;4,8;4,9;3,8;3,6;4,8;5,0;5,2
"Kortemark";2,2;1,1;3,9;2,5;3,3;2,7;3,9;1,7;2,9;2,7;2,1
"Kortenaken";0,9;3,9;2,8;2,5;3,9;2,8;2,2;2,0;2,3;2,6;2,1
"Kortenberg";4,1;5,5;9,6;6,6;6,1;6,7;5,6;7,6;7,4;9,5;5,7
"Kortrijk";6,7;7,0;8,4;7,7;7,4;7,9;7,0;8,2;11,9;15,1;13,6
"Kraainem";15,8;14,1;21,1;16,3;20,8;23,3;14,0;15,7;16,6;20,5;13,0
"Kruisem";2,6;3,1;3,8;1,8;2,7;3,3;2,3;2,1;3,7;4,3;2,9
"Kuurne";3,7;3,1;3,7;2,2;3,7;3,6;3,0;4,4;3,1;4,6;5,8
"Laakdal";2,8;2,0;1,9;3,6;2,8;3,0;4,1;3,1;4,5;3,6;4,6
"Laarne";1,4;1,4;1,5;2,0;2,3;4,5;3,4;2,4;2,9;3,5;2,6
"Lanaken";16,7;16,8;21,1;14,1;15,4;17,3;13,6;16,5;19,8;18,9;13,4
"Landen";1,8;2,7;5,5;4,9;4,4;5,7;2,7;5,5;3,3;5,5;4,4
"Langemark-Poelkapelle";7,9;18,2;31,5;14,7;12,1;20,3;10,4;9,6;7,1;4,1;5,1
"Lebbeke";2,9;3,5;4,6;2,6;4,4;3,8;4,0;2,9;3,4;4,8;4,5
"Lede";1,2;1,6;3,0;2,9;3,6;3,3;1,7;2,7;2,7;4,1;3,2
"Ledegem";3,4;3,1;2,2;4,0;4,4;2,5;4,3;2,3;5,0;6,3;5,1
"Lendelede";3,7;2,6;8,6;5,3;2,4;4,7;3,6;3,0;6,5;2,7;5,4
"Lennik";2,8;3,0;4,5;4,5;8,3;5,2;2,8;2,8;3,0;6,9;4,8
"Leopoldsburg";5,1;3,8;36,6;5,5;4,6;7,6;30,9;14,4;13,8;13,3;8,0
"Leuven";29,2;31,8;56,6;46,9;49,3;52,4;39,5;40,2;39,4;49,1;42,7
"Lichtervelde";1,2;1,4;5,3;2,5;3,1;4,3;2,9;2,6;3,7;3,1;4,5
"Liedekerke";2,3;3,0;5,0;5,2;6,2;5,3;4,9;6,1;5,2;6,9;6,3
"Lier";5,7;5,3;7,4;6,1;7,1;6,0;5,0;4,8;6,1;6,8;6,0
"Lierde";0,9;0,9;0,6;0,9;0,8;1,5;1,1;0,7;0,6;2,7;3,0
